title,ISBN,J_similarity,sim_words
三体 . [Ⅰ] : 地球往事三部曲之一,9787536692930,0.14285714285714285,"['地球', '人类', '刘慈欣', '科幻小说', '三体']"
三体 : 典藏版,9787229100605,0.14285714285714285,"['地球', '刘慈欣', '科幻小说', '科幻', '三体']"
流浪地球,9787511360809,0.11764705882352941,"['地球', '科幻', '科幻小说', '刘慈欣']"
三体 . Ⅲ :死神永生 : 典藏版,9787229100629,0.11428571428571428,"['地球', '刘慈欣', '人类', '三体']"
窗边的小豆豆,9787544288590,0.1111111111111111,"['黑柳彻子', '小豆豆', '教育', '窗边的小豆豆']"
窗边的小豆豆,9787544250580,0.1111111111111111,"['黑柳彻子', '小豆豆', '教育', '窗边的小豆豆']"
三体 . Ⅱ :黑暗森林,9787536693968,0.1111111111111111,"['三体', '地球', '刘慈欣', '科幻小说']"
超新星纪元,9787511360823,0.08333333333333333,"['地球', '刘慈欣', '三体']"
绘本窗边的小豆豆 . 1,9787513316057,0.08108108108108109,"['黑柳彻子', '小豆豆', '窗边的小豆豆']"
人类简史 : 从动物到上帝 = =Sapiens : a brief history of humankind,9787508647357,0.08108108108108109,"['地球', '人类', '科学']"
