title,ISBN,J_similarity,sim_words
肖申克的救赎 = Different seasons,9787020143405,0.08333333333333333,"['科幻', '代表作', '作品']"
肖申克的救赎 = Different seasons . YW,9787532154586,0.08333333333333333,"['科幻', '代表作', '作品']"
亨利·休格的神奇故事,9787533278847,0.08333333333333333,"['作家', '作品', '读者']"
无所畏,9787559623096,0.08108108108108109,"['作品', '冯唐', '生活']"
黄同学漫画中国史 : 清末民初那些年,9787550294431,0.08108108108108109,"['作家', '漫画', '作者']"
如果历史是一群喵 . 3 :秦楚两汉篇,9787557017477,0.08108108108108109,"['作家', '漫画', '知识']"
骆驼祥子,9787544246279,0.08108108108108109,"['作家', '代表作', '读者']"
神奇校车 : 桥梁书版 . 7 :像螃蟹一样爬,9787221116604,0.05405405405405406,"['知识', '阅读']"
局外人 = L'étranger,9787559427434,0.05263157894736842,"['作家', '代表作']"
如果历史是一群喵 :春秋战国篇,9787559330260,0.05263157894736842,"['漫画', '知识']"
