title,ISBN,J_similarity,sim_words
知否知否应是绿肥红瘦 . 2 :十年闺阁,9787511373342,0.05263157894736842,"['古言', '算计']"
那片星空，那片海,9787540471422,0.05263157894736842,"['言情小说', '爱情']"
偷影子的人,9787540485214,0.02702702702702703,['爱情']
偶遇,9787530217856,0.02631578947368421,['爱情']
谢谢你离开我,9787540460594,0.02631578947368421,['爱情']
偷影子的人 = Le voleur d'ombres,9787540455958,0.02631578947368421,['爱情']
草房子,9787501605095,0.02564102564102564,['爱情']
爱的流放地,9787538755947,0.02564102564102564,['爱情']
红玫瑰与白玫瑰,9787530211151,0.02564102564102564,['爱情']
原来我这么棒,9787535353320,0.02564102564102564,['宠爱']
