,title,ISBN,weight
121,青铜葵花,978-7-5346-3336-2,"[('大麦', 0.4759478947364117), ('干校', 0.3677779186599546), ('葵花', 0.3298905483292617), ('苦难', 0.2584437855262378), ('地人', 0.21633995215291443), ('潮湿', 0.19911802539903414), ('青铜', 0.19383283914467836), ('青铜葵花', 0.19366599573520776), ('女孩', 0.12342777077928382), ('曹文轩', 0.1230186461544774), ('天空', 0.08903523890354587), ('鱼苗', 0.08653598086116578), ('遥望', 0.08132123006248562), ('芦荡', 0.08132123006248562), ('充满生机', 0.07762130548923803), ('繁殖', 0.07762130548923803), ('男孩', 0.07351510591997248), ('情意', 0.07042399844916646), ('无声', 0.07042399844916646), ('学会', 0.06849379286216192)]"
122,你是我不及的梦,978-7-5302-1347-6,"[('三毛', 0.5758174034976922), ('莲莲', 0.21891402985821587), ('记忆', 0.2068167733395298), ('齐豫', 0.1876405970213279), ('贯穿', 0.1400993717584297), ('关渡', 0.12509373134755195), ('月牙泉', 0.12509373134755195), ('结集', 0.12141298597939518), ('散文', 0.11551458762404536), ('撒哈拉', 0.09517155860737098), ('百合花', 0.09382029851066395), ('流浪生活', 0.09382029851066395), ('你是我不及的梦', 0.09382029851066395), ('清泉', 0.09382029851066395), ('远走', 0.09382029851066395), ('至亲好友', 0.09382029851066395), ('散佚', 0.09382029851066395), ('倒流', 0.09382029851066395), ('百般', 0.09382029851066395), ('篇篇', 0.09382029851066395)]"
123,长安十二时辰 . 上,978-7-5404-7831-5,"[('突厥', 0.21638922500659022), ('李泌', 0.15351017046302684), ('青光', 0.15351017046302684), ('正授', 0.15351017046302684), ('长安十二时辰', 0.1442594833377268), ('死囚', 0.1442594833377268), ('太子', 0.1442594833377268), ('狼卫', 0.1442594833377268), ('斩首', 0.1442594833377268), ('亮起', 0.1442594833377268), ('皇都', 0.1442594833377268), ('大夫', 0.1442594833377268), ('暗杀', 0.1376960163695669), ('独眼', 0.1376960163695669), ('烈焰', 0.1376960163695669), ('时辰', 0.1376960163695669), ('绑架', 0.13260499587000416), ('灯火', 0.13260499587000416), ('吞噬', 0.12844532924426685), ('劫难', 0.12844532924426685)]"
124,时间的玫瑰 = Roses of time : 但斌投资札记 : 全新升级版,978-7-5086-8864-0,"[('投资', 0.37504551718283285), ('价值投资', 0.3506814329294901), ('但斌', 0.2887733407917609), ('玫瑰', 0.23889943384914344), ('穿越', 0.228179029625946), ('分析', 0.18050150202797327), ('企业', 0.15891628044126613), ('时间', 0.14814273133049985), ('资本', 0.12916196152678563), ('行业', 0.114089514812973), ('市场', 0.10839975187620189), ('投资者', 0.10616122328097345), ('坚定', 0.10477685297047819), ('投机', 0.10003081993941), ('原则', 0.09787423400291428), ('选对', 0.09218730806003347), ('切身', 0.09218730806003347), ('结合实际', 0.09218730806003347), ('茅台', 0.09218730806003347), ('逻辑', 0.09180687122151612)]"
125,蔡康永的情商课 : 为你自己活一次,978-7-5404-8155-1,"[('情商', 0.7326182828456608), ('标签', 0.23994779625484694), ('字条', 0.17402433892050354), ('情绪', 0.17188526076066968), ('蔡康永', 0.15494727273374545), ('能力', 0.1269410468873251), ('课程', 0.10219632287483633), ('开心', 0.09744885210377209), ('负面', 0.09296836364024726), ('粽子', 0.09259185363176628), ('委屈', 0.09042280667548598), ('职场', 0.08839878200429055), ('洞明', 0.08701216946025177), ('人情', 0.07747363636687273), ('学术观点', 0.07407348290541302), ('表现', 0.07362976211563385), ('世事', 0.0718939521953582), ('爱情', 0.07018243846792235), ('自洽', 0.06960973556820142), ('领导力', 0.06960973556820142)]"
126,揭秘数学,978-7-5417-4077-0,"[('数学', 0.5586225023012558), ('揭秘', 0.38344693038734173), ('乐乐趣科普翻翻书', 0.3197924173733177), ('数字', 0.2556312869248945), ('多边形', 0.19647812619826405), ('数学知识', 0.19647812619826405), ('中文桥梁书', 0.18463814408539736), ('用到', 0.18463814408539736), ('翻页', 0.16972153072647456), ('面积', 0.15255757886118573), ('看里面系列', 0.1494809476151297), ('概率', 0.14415697786270756), ('计算', 0.1418196516460525), ('翻翻书', 0.13575637686422934), ('迷人', 0.13231699574984085), ('揭开', 0.12047701363697412), ('科普', 0.10827873268678417), ('绘本', 0.10307370806370873), ('真相', 0.10190551273253591), ('童书', 0.09527521064153957)]"
127,富爸爸穷爸爸,978-7-220-10291-2,"[('财商', 0.38701416018980084), ('爸爸', 0.3397324320344975), ('富爸爸穷爸爸', 0.2870518230646387), ('财富', 0.18668601766350293), ('父亲', 0.1320463119395117), ('爆满', 0.12800769536311576), ('影视文化', 0.12800769536311576), ('培训中心', 0.12800769536311576), ('热卖', 0.12800769536311576), ('演起', 0.12800769536311576), ('投资理财', 0.1249099805731412), ('高学历', 0.12029381467453878), ('服兵役', 0.12029381467453878), ('脱销', 0.12029381467453878), ('快车', 0.12029381467453878), ('人生道路', 0.11482072922585548), ('讲座', 0.11482072922585548), ('某种程度', 0.11482072922585548), ('辛劳', 0.11482072922585548), ('越战', 0.11482072922585548)]"
128,三体 : 典藏版,978-7-229-10060-5,"[('科幻', 0.3299035380614464), ('绝秘', 0.24084342659568178), ('红岸', 0.24084342659568178), ('军方', 0.24084342659568178), ('文化大革命', 0.24084342659568178), ('啼鸣', 0.22988561752562947), ('突破性', 0.2144414530653568), ('进展', 0.2144414530653568), ('料到', 0.2144414530653568), ('外星', 0.20856985424388702), ('探寻', 0.19899728860508412), ('工程', 0.1949841069554204), ('三体', 0.19135374256104817), ('刘慈欣', 0.19135374256104817), ('无人', 0.18499065309735507), ('虚构', 0.17708167046497947), ('科幻小说', 0.17259531507475914), ('典藏版', 0.1649517690307232), ('宇宙', 0.15442927894209946), ('计划', 0.15313796896482273)]"
129,狼国女王,978-7-115-32971-4,"[('狼国女王', 0.5049759325514311), ('狼群', 0.4529548372274549), ('一位沈石溪笔下的第一位女王', 0.25248796627571557), ('沈石溪笔下的第一位女王', 0.25248796627571557), ('宝座', 0.23727277127023216), ('曲卡', 0.21810389255792662), ('雄性', 0.21810389255792662), ('造就', 0.2054776749334074), ('磨难', 0.2054776749334074), ('登上', 0.16608279723395036), ('沈石溪', 0.16425193226593585), ('动物小说', 0.16250625527576135), ('带领', 0.15770927117814956), ('传奇', 0.14007224957196224), ('经历', 0.10922721127438455), ('讲述', 0.10011867239892912), ('文学', 0.09701564193647616), ('儿童文学', 0.09333095786274392), ('生活', 0.07661631567524377), ('故事', 0.071005094274488)]"
130,安徽寻宝记,978-7-5391-9744-9,"[('青囊', 0.3398362012710364), ('寻宝记', 0.3372730040851582), ('卡通', 0.1699181006355182), ('地藏王', 0.1699181006355182), ('风流人物', 0.1699181006355182), ('馆长', 0.1699181006355182), ('优胜', 0.1699181006355182), ('周到', 0.1699181006355182), ('继数', 0.1699181006355182), ('神医', 0.1699181006355182), ('有术', 0.1699181006355182), ('少见', 0.1596786540818255), ('奖品', 0.1596786540818255), ('牌坊', 0.1596786540818255), ('出击', 0.1596786540818255), ('分身', 0.15241365113479077), ('骆驼', 0.15241365113479077), ('画笔', 0.15241365113479077), ('新意', 0.1467784770549695), ('游历', 0.14217420458109803)]"
131,美国陷阱 = Le piege American,978-7-5217-0241-5,"[('阿尔斯通', 0.6844910037889963), ('美国', 0.26888654290740854), ('企业', 0.17100779688206097), ('收购', 0.15424599321910054), ('陷阱', 0.13101246574150016), ('通用电气', 0.11904191370243414), ('大国博弈', 0.11904191370243414), ('电力', 0.11904191370243414), ('全球', 0.11545044349340498), ('竞争对手', 0.11186832060995944), ('打击', 0.10917705478458346), ('经济', 0.09906097045894206), ('披露', 0.09687770870033785), ('罚款', 0.08928143527682561), ('商业', 0.08748570017231103), ('高管', 0.08008393148346586), ('能源', 0.08008393148346586), ('管理层', 0.07712299660955027), ('处以', 0.07712299660955027), ('巨头', 0.07470373666410982)]"
132,撒哈拉的故事,978-7-5302-1111-3,"[('三毛', 0.5958932245802814), ('沙漠', 0.3663586020890806), ('撒哈拉的故事', 0.35192766955688626), ('华文', 0.32349600933255673), ('倾倒', 0.2088988737078989), ('全世界', 0.1349687563610744), ('散文', 0.13174015571782308), ('立体化', 0.12483171595694761), ('单调', 0.11197192962526832), ('饭店', 0.11197192962526832), ('遍及', 0.11197192962526832), ('荒凉', 0.11197192962526832), ('足迹', 0.10783200311085225), ('倾情', 0.09497221677917296), ('设计师', 0.09158965052227015), ('世界各地', 0.08625235696190969), ('女子', 0.08625235696190969), ('动人', 0.08512760351146877), ('受欢迎', 0.08406715775095128), ('写出', 0.08120723873077976)]"
133,围城,978-7-02-012789-4,"[('围城', 0.48690198339639124), ('钱钟书', 0.29837731289720604), ('讽刺', 0.27424896262960835), ('长篇小说', 0.20813500642089197), ('操守', 0.17270824475592422), ('特殊人群', 0.17270824475592422), ('抗战', 0.1623006611321304), ('钱锺书', 0.1623006611321304), ('历史背景', 0.1549163630353642), ('儒林外史', 0.1549163630353642), ('现当代', 0.14918865644860302), ('晨光', 0.1445087794115704), ('群像', 0.1445087794115704), ('出版', 0.1435702480057202), ('记述', 0.14055199975560337), ('特定', 0.14055199975560337), ('弱点', 0.13712448131480418), ('文学史', 0.131396774728043), ('知识分子', 0.131396774728043), ('氛围', 0.12895032829732392)]"
134,不上补习班的第一名,978-7-5353-5335-1,"[('小米', 0.827537939578091), ('妈妈', 0.24638656368901155), ('智律', 0.1869266881939489), ('自律', 0.15370450021070714), ('早餐', 0.1257525490322262), ('爸爸', 0.12402586073466416), ('上学', 0.1115385081969283), ('沙发', 0.10666064599575346), ('不上补习班的第一名', 0.09346334409697445), ('主角', 0.06294231904047212), ('慢慢', 0.0612893508205865), ('吃饭', 0.06080105555288248), ('车子', 0.057046176060850246), ('催促', 0.057046176060850246), ('学校', 0.0563830284793549), ('公主', 0.05233737793802051), ('孩子', 0.052277034257660705), ('学生家长', 0.04673167204848722), ('好性', 0.04673167204848722), ('体力', 0.04673167204848722)]"
135,失乐园,978-7-5502-3041-5,"[('情爱', 0.4262546746333857), ('渡边淳一', 0.40056811185492974), ('畅销书', 0.22233612702441466), ('悲剧性', 0.21312733731669284), ('都市生活', 0.21312733731669284), ('婚外恋', 0.21312733731669284), ('失乐园', 0.20028405592746487), ('真切感', 0.20028405592746487), ('两性', 0.19117160276380363), ('雄踞', 0.19117160276380363), ('榜首', 0.16921586821091436), ('电视剧', 0.151489797852249), ('心态', 0.1493044190252221), ('改编', 0.14533982273229118), ('曲折', 0.14533982273229118), ('上演', 0.14352930543245837), ('排行榜', 0.14181670298449986), ('长期', 0.14181670298449986), ('优美', 0.13312379806509655), ('同名', 0.1224658955028955)]"
136,揭秘太空,978-7-5417-4075-6,"[('太空', 0.5343448498670573), ('宇宙', 0.2633015898856096), ('浩瀚', 0.2516418620862502), ('太阳系', 0.22619330061233284), ('人类', 0.20159290835915805), ('揭秘', 0.18950905278174768), ('探索', 0.1755343932570731), ('绘本', 0.15282480495116252), ('令人神往', 0.14565659796997119), ('相对论', 0.13687917552628792), ('停歇', 0.13687917552628792), ('无垠', 0.13687917552628792), ('演化', 0.13065149519353297), ('星座', 0.13065149519353297), ('经历', 0.1260231466445483), ('万有引力', 0.1258209310431251), ('银河系', 0.1258209310431251), ('恒星', 0.1218740727498497), ('借助', 0.11853705161099534), ('简介', 0.11564639241709473)]"
137,白说,978-7-5354-8110-8,"[('白岩松', 0.4177369535038238), ('老头', 0.2625893704366743), ('影音', 0.1750595802911162), ('年老', 0.1670947814015295), ('渴望', 0.1630067646627386), ('可爱', 0.1571478872576131), ('序言', 0.14790422897331257), ('资深', 0.14464327432426902), ('自传', 0.14172625099026065), ('演讲', 0.1305004974516304), ('新闻', 0.11322008958517016), ('分享', 0.1104021222238051), ('依然', 0.10070637755223903), ('幸福', 0.09829737057824842), ('随笔', 0.09353950463311182), ('晕车', 0.09314266691487322), ('起得', 0.09314266691487322), ('透透气', 0.09314266691487322), ('到时', 0.09314266691487322), ('执言', 0.09314266691487322)]"
138,放学后,978-7-5442-9122-4,"[('放学', 0.6336641938090796), ('东野圭吾', 0.2847743558149052), ('花盆', 0.19969208686328688), ('川乱', 0.17473057600537603), ('步奖', 0.17473057600537603), ('行凶', 0.14976906514746516), ('动机', 0.14413951691928759), ('教学楼', 0.1343403084238453), ('想写', 0.1343403084238453), ('不错', 0.1149351521711051), ('书名', 0.10988630758415843), ('真相', 0.10357246831588088), ('推理', 0.09924793782745053), ('讨论', 0.09742982490211459), ('普通人', 0.09639433630151184), ('学校', 0.09637356531161394), ('教室', 0.09008719807455474), ('走廊', 0.08871255751515134), ('死去', 0.08871255751515134), ('成名作', 0.0862489054435532)]"
139,默读 = The light in the night,978-7-5500-2510-3,"[('默读', 0.230503241960449), ('刑侦', 0.1844025935683592), ('豆瓣', 0.14612584306056983), ('店员', 0.12901055057112498), ('线索', 0.12494751774070809), ('名著', 0.11312680658122867), ('客人', 0.11312680658122867), ('酷爱', 0.10279045944411046), ('翻案', 0.10279045944411046), ('悄然无声', 0.10279045944411046), ('互文', 0.10279045944411046), ('香草', 0.10279045944411046), ('汇聚', 0.10279045944411046), ('前文', 0.10279045944411046), ('收尾', 0.10279045944411046), ('蒙冤', 0.10279045944411046), ('商圈', 0.10279045944411046), ('细流', 0.10279045944411046), ('副队长', 0.10279045944411046), ('案件', 0.100302987690283)]"
140,和鹦鹉对话的人,978-7-5597-0843-4,"[('鹦鹉', 0.527641259139602), ('马小跳', 0.34185831111016585), ('视频', 0.26653651520034366), ('贼人', 0.245235377041955), ('公馆', 0.2304572308238417), ('对话', 0.20085196416306816), ('小女孩', 0.15172548611608982), ('直播', 0.14013450116683143), ('杨红樱', 0.13257172058444489), ('宝物', 0.12569826812391285), ('偶像', 0.10661460608013747), ('模仿', 0.1046295731670609), ('淘气包马小跳', 0.1046295731670609), ('富贵', 0.0987673846387893), ('巷子', 0.0987673846387893), ('主人公', 0.09717767499287533), ('儿童文学', 0.09065007326393998), ('小巷', 0.08344652631074569), ('吸引', 0.07826943605269557), ('驯养', 0.07006725058341572)]"
141,写给孩子的哲学启蒙书 . 1 = Les gouters philo,978-7-5633-8385-6,"[('公平', 0.30211038732153767), ('哲学启蒙书', 0.19972892277335966), ('法律', 0.18801740027522224), ('自由', 0.16860247458739963), ('你好', 0.1643472548002779), ('幸福', 0.1525075964719987), ('哲学', 0.1525075964719987), ('给孩子', 0.14582526996845782), ('工作', 0.12647116083537766), ('宗教', 0.12517041649097949), ('怪圈', 0.11560809146056725), ('引起反响', 0.11560809146056725), ('抓贼', 0.11560809146056725), ('书界', 0.11560809146056725), ('邮票', 0.11560809146056725), ('丑陋', 0.1153898784807652), ('价值', 0.1126613928492188), ('众神', 0.1086414241705172), ('玩游戏', 0.1086414241705172), ('合乎', 0.1086414241705172)]"
142,俗世奇人 : 足本,978-7-02-011093-3,"[('俗世奇人', 0.6491430946732668), ('冯骥才', 0.46882556837513717), ('旧版', 0.22669512626151195), ('足本', 0.16082135085276192), ('集成', 0.1511300841743413), ('插图', 0.12439368198067226), ('手绘', 0.10830415786740424), ('五方杂处', 0.08041067542638096), ('卫本', 0.08041067542638096), ('血气', 0.08041067542638096), ('咸土', 0.08041067542638096), ('水陆', 0.08041067542638096), ('随记', 0.08041067542638096), ('显耀', 0.08041067542638096), ('随想', 0.08041067542638096), ('始作', 0.08041067542638096), ('总名', 0.08041067542638096), ('大灾', 0.08041067542638096), ('风习', 0.08041067542638096), ('更名', 0.08041067542638096)]"
143,朗读者 . 2,978-7-02-013071-9,"[('朗读者', 0.4409339792291916), ('文本', 0.41665389787350804), ('节目', 0.29044286896033944), ('访谈', 0.23107233375806913), ('阅读', 0.21175435659320765), ('名家', 0.18893491270768822), ('增加', 0.16437811230346325), ('照片', 0.1619660556077364), ('访谈节目', 0.1273439211328858), ('共分', 0.1226356475743959), ('三辑', 0.1226356475743959), ('剪掉', 0.1226356475743959), ('替换', 0.11878870797009186), ('编纂', 0.11878870797009186), ('扩充', 0.11878870797009186), ('共收录', 0.11878870797009186), ('含量', 0.11878870797009186), ('甄别', 0.11553616687903456), ('朗读', 0.11553616687903456), ('董卿', 0.11271868763117096)]"
144,晓松奇谈 :命运卷,978-7-5404-8262-6,"[('南北战争', 0.27886246814392557), ('美国', 0.2519528212332973), ('人口', 0.247518971189606), ('晓松奇谈', 0.24088668734447635), ('高晓松', 0.22140732978001176), ('战争', 0.21690247504127447), ('内战', 0.16675659930797912), ('工业', 0.15129436972277693), ('宣传', 0.15129436972277693), ('棉花', 0.12506744948098433), ('各个方面', 0.12506744948098433), ('黑人', 0.12506744948098433), ('世纪', 0.11434530846752472), ('历史', 0.11093574830298011), ('分享', 0.1101786800521652), ('繁荣', 0.10826289877266679), ('武器', 0.1023013895358471), ('生产', 0.09389911418168831), ('生活来源', 0.09295415604797519), ('天平', 0.09295415604797519)]"
145,会唱歌的猫,978-7-5332-7433-7,"[('球球老老鼠', 0.43363650066649845), ('笑猫日记', 0.28773084805419763), ('会唱歌的猫', 0.2738177919092298), ('落叶', 0.19710750030295385), ('三宝', 0.18569678147046395), ('病房', 0.15768600024236307), ('铺上', 0.1369088959546149), ('温暖', 0.1274238338087751), ('地方', 0.12586104028116532), ('犹如', 0.12448466986319309), ('飘落', 0.12280495501792484), ('胖头', 0.12280495501792484), ('杨红樱', 0.11512906211225998), ('睡不着', 0.11455467845757511), ('虎皮', 0.10630440189722543), ('别墅', 0.10416055924508226), ('成长', 0.1035078092352853), ('感动', 0.09214166142961089), ('丫拜', 0.09127259730307659), ('不亮', 0.09127259730307659)]"
146,挪威的森林,978-7-5327-6554-6,"[('挪威的森林', 0.3626174534635671), ('直子', 0.3552682892304053), ('患者', 0.28997558815028174), ('医生', 0.2605290699844168), ('村上春树', 0.1407623322207628), ('互相帮助', 0.13957598738669005), ('林少华', 0.133225608461402), ('治疗', 0.11532489566741093), ('教授', 0.10842754326172396), ('译序', 0.09901756252245705), ('疗养', 0.09901756252245705), ('精装本', 0.09305065825779338), ('忧郁', 0.09305065825779338), ('少女', 0.09277266467147774), ('症状', 0.08881707230760133), ('修订', 0.08664413982438166), ('渡边', 0.08553324792581564), ('青春', 0.08472342502284373), ('青春文学', 0.08058165632523713), ('名作', 0.07861658209274561)]"
147,玛蒂尔达,978-7-5332-5953-2,"[('太太', 0.41864037171379226), ('恶毒', 0.20105826927637924), ('儿童书', 0.1897933711793163), ('读完', 0.1880051317430418), ('校长', 0.1860623874283521), ('图书馆', 0.16983497041918894), ('爸爸', 0.14293661177116254), ('女孩', 0.13966771527858865), ('经典作家', 0.13464262262412577), ('作品', 0.1286803394340328), ('势利', 0.1265289141195442), ('解扣', 0.1265289141195442), ('高潮迭起', 0.12077214632080922), ('回味', 0.12077214632080922), ('花园', 0.12077214632080922), ('结下', 0.12077214632080922), ('秘密', 0.11829280768932986), ('自有', 0.1163068503093022), ('图画书', 0.1163068503093022), ('久久', 0.1163068503093022)]"
148,漂亮女孩夏林果,978-7-5342-7319-3,"[('马小跳', 0.6799903493975668), ('同桌', 0.4138354454399019), ('林果', 0.37820944214715957), ('淘气包马小跳系列', 0.12895972758243235), ('淘气包马小跳', 0.10546554664492731), ('监视', 0.0847524919887193), ('漂亮女孩', 0.07964521613779468), ('芭蕾舞', 0.07964521613779468), ('老师', 0.07753692900603695), ('干什么', 0.0770613619497456), ('儿童文学', 0.07309948222703008), ('杨红樱', 0.07126983857625052), ('不想', 0.061089915355402494), ('闲事', 0.05650166132581287), ('打小报告', 0.05650166132581287), ('学校', 0.054536628201255204), ('大队长', 0.05309681075852979), ('去向', 0.05309681075852979), ('成长', 0.05126062677996608), ('眼睛', 0.05003119101974141)]"
149,揭秘身体,978-7-5417-5233-9,"[('身体', 0.5377064612001041), ('器官', 0.4238044345102993), ('鸡皮疙瘩', 0.2532528483808866), ('樱桃岁', 0.2532528483808866), ('揭秘系列', 0.2379915607613351), ('科学绘本', 0.21190221725514966), ('眼珠', 0.20610014498173074), ('功能', 0.19267526871670745), ('颜色', 0.17498481786233025), ('揭秘', 0.16474951385599382), ('懂得', 0.15972353024277877), ('食物', 0.15132463759097053), ('保护', 0.14661362624673777), ('变化', 0.1434309735517245), ('科普', 0.13956717728633844), ('绘本', 0.13285809807638946), ('童书', 0.12280613084995941), ('英国', 0.1116851632399565), ('发生', 0.09443493923436691), ('疯人', 0.0)]"
150,塔顶上的猫,978-7-5332-5140-6,"[('地包', 0.4654027154452268), ('塔顶上的猫', 0.3428558273543717), ('公园', 0.27851443518522995), ('发呆', 0.26360216193805613), ('酷猫', 0.2448970195388369), ('虎皮', 0.19015295541583577), ('猫哥', 0.13808355786353887), ('老鼠', 0.13193952332696982), ('受伤', 0.10606130261576535), ('笑猫日记', 0.1029362286892063), ('上不去', 0.09795880781553476), ('靓猫', 0.09795880781553476), ('仰酸', 0.09795880781553476), ('看累', 0.09795880781553476), ('女猫', 0.09795880781553476), ('惹怒', 0.09795880781553476), ('春风', 0.09205570524235925), ('杂毛', 0.09205570524235925), ('白猫', 0.09205570524235925), ('嘲弄', 0.09205570524235925)]"
151,十宗罪 . 5 :中国十大变态凶杀案,978-7-5404-7168-2,"[('奇案', 0.2743606560986899), ('警察', 0.2066183568456534), ('蚊香', 0.15880680365672734), ('十宗罪系列', 0.15880680365672734), ('浮尸', 0.15880680365672734), ('烧尸', 0.15880680365672734), ('控梦', 0.15880680365672734), ('特案', 0.14923693574787003), ('社会底层', 0.14923693574787003), ('特大案件', 0.14923693574787003), ('大案', 0.14244700640979382), ('曝光', 0.14244700640979382), ('化名', 0.14244700640979382), ('涉案', 0.14244700640979382), ('罪与罚', 0.13718032804934496), ('重口味', 0.13718032804934496), ('特大', 0.13718032804934496), ('真凶', 0.1328771385009365), ('内幕', 0.1328771385009365), ('侦破', 0.1292388435786176)]"
152,人心至上,978-7-5168-1202-0,"[('杜月笙', 0.8059971760574003), ('为人处世', 0.15629779735399893), ('雾满拦江', 0.13159137568284085), ('逆袭', 0.09634221845867547), ('人心', 0.08506598848203782), ('枭雄', 0.08224460980177553), ('混迹', 0.07728846161482623), ('秘诀', 0.06881587032762534), ('脾气', 0.06819220312820744), ('读者', 0.06671738330189725), ('大事', 0.06646455702417016), ('游刃', 0.06579568784142042), ('影视作品', 0.06579568784142042), ('军界', 0.06579568784142042), ('闯荡', 0.06579568784142042), ('黑白两道', 0.06579568784142042), ('摸爬滚打', 0.06579568784142042), ('探究出', 0.06579568784142042), ('足见', 0.06579568784142042), ('出入', 0.06183076929186098)]"
153,淘气包埃米尔,978-7-5007-9413-4,"[('猫子', 0.2864328656523813), ('伊达', 0.2864328656523813), ('帽子', 0.23752748179843453), ('妈妈', 0.19176881552578126), ('听话', 0.1815989096526265), ('淘气', 0.16721495051731816), ('爸爸', 0.1520385689104955), ('女仆', 0.14321643282619065), ('淘气包埃米尔', 0.14321643282619065), ('蓝眼睛', 0.14321643282619065), ('长工', 0.14321643282619065), ('浅色', 0.13458605734500564), ('脸蛋', 0.13458605734500564), ('卷曲', 0.13458605734500564), ('林格伦', 0.1284627084925021), ('瑞典', 0.12371307012526443), ('蔬菜', 0.11983233301131709), ('主席', 0.10693065670725856), ('领班', 0.09547762188412709), ('国旗', 0.09547762188412709)]"
154,孔雀屎咖啡,978-7-5342-9049-7,"[('孔雀屎咖啡', 0.4635212284247913), ('咖啡店', 0.4376533384301705), ('马小跳', 0.36501748377730436), ('老板', 0.22891886650244958), ('淘气包马小跳', 0.16393357844418444), ('杨红樱', 0.1384755501277497), ('揭露', 0.11136248487622497), ('小伙伴', 0.11109227767135349), ('鹦鹉', 0.10206273324320395), ('逃离', 0.09981889209386284), ('宣称', 0.0975834165104824), ('女老板', 0.0975834165104824), ('小巷', 0.09684739857698224), ('映射', 0.08429440540859827), ('勇敢', 0.08120423840288005), ('店里', 0.0774779188615858), ('咖啡', 0.0757697055030922), ('谋取', 0.0731875623828618), ('错别字', 0.0731875623828618), ('攀比', 0.0731875623828618)]"
155,阿比琳的夏天 = Moon over manifest,978-7-5414-5415-8,"[('间谍', 0.3275958054912787), ('爸爸', 0.24671796584048045), ('阿比琳的夏天', 0.2324019966447368), ('香烟盒', 0.1743014974835526), ('占卜', 0.1743014974835526), ('响尾蛇', 0.1743014974835526), ('寄居', 0.16379790274563935), ('纪念品', 0.16379790274563935), ('打探', 0.16379790274563935), ('暑假作业', 0.16379790274563935), ('代号', 0.15634548367931017), ('一堂课', 0.15634548367931017), ('牧师', 0.14584188894139688), ('女老师', 0.14584188894139688), ('布置', 0.14584188894139688), ('酒鬼', 0.14584188894139688), ('放假', 0.14184860755392076), ('女王', 0.14184860755392076), ('纽伯瑞', 0.14184860755392076), ('年少', 0.14184860755392076)]"
156,大雪中的山庄,978-7-5302-1683-5,"[('东野圭吾', 0.3523731293928229), ('大雪', 0.2749785999826843), ('失踪', 0.2542061660341351), ('演员', 0.2246441945722876), ('民宿', 0.19507446249110028), ('排练', 0.19507446249110028), ('女演员', 0.18331906665512288), ('诡计', 0.17314854373390262), ('剧本', 0.1685090194021115), ('舞台剧', 0.16322308473921363), ('外界', 0.15875389066180112), ('写出', 0.14805293172823356), ('来源于', 0.1404241828350929), ('导演', 0.13665764165022484), ('戏剧', 0.12367753123850188), ('灵感', 0.11388136804185404), ('超强', 0.10325499910618788), ('简体', 0.10325499910618788), ('贵子', 0.09753723124555014), ('温子', 0.09753723124555014)]"
157,撒野 = Run freely,978-7-5596-2018-7,"[('钢厂', 0.32959035372977386), ('撒野', 0.20599397108110867), ('晋江', 0.1893520554243696), ('豆瓣', 0.1869703600320184), ('人物性格', 0.14672983890232708), ('读者', 0.13971514989140427), ('希望', 0.13559630698654584), ('压抑', 0.13341630637693583), ('生活', 0.13303253492641534), ('丞哥', 0.13152204160187908), ('右肩', 0.1235963826486652), ('姑娘', 0.12284876110598397), ('相互', 0.1128669207867905), ('真实', 0.10337561366138664), ('共鸣', 0.0964983757048254), ('救赎', 0.09087503118611939), ('手机', 0.09087503118611939), ('情节', 0.09044769005498034), ('父亲', 0.09044769005498034), ('爱恨分明', 0.08768136106791938)]"
158,没头脑和不高兴 : 荣誉珍藏版,978-7-5342-9359-7,"[('没头脑', 0.8024334058123889), ('没头脑和不高兴', 0.16602070465083907), ('翻出来', 0.13001343279110722), ('屋子', 0.12181021627288693), ('帽子', 0.09833887455691837), ('妈妈', 0.09725802444053264), ('事情', 0.0920073185638996), ('书包', 0.08787653438293157), ('找到', 0.08347674089770815), ('怎么得了', 0.08301035232541953), ('仙人', 0.08301035232541953), ('练习本', 0.07800805967466433), ('老头儿', 0.07800805967466433), ('敲门', 0.07800805967466433), ('桌子', 0.07753619711149107), ('本子', 0.0744588765563091), ('活儿', 0.0744588765563091), ('把门', 0.07170591625348394), ('手套', 0.06945658390555388), ('开门', 0.06945658390555388)]"
159,我的晃荡的青春,978-7-5442-7886-7,"[('东野圭吾', 0.4690050361803675), ('晃荡', 0.38691766475639755), ('衣服', 0.34396050217800866), ('青春', 0.23450251809018374), ('小学', 0.16615285224339632), ('学校', 0.1283773275720766), ('女生', 0.10164436999442052), ('大学', 0.09587055088081778), ('快乐', 0.09426391024777704), ('写成', 0.09198991430994084), ('大师', 0.09039301486897212), ('教室', 0.08727518664101368), ('时期', 0.08530549053889278), ('推理', 0.08413123254372698), ('经历', 0.08369099355014152), ('健全', 0.08355670373874538), ('大学毕业', 0.08355670373874538), ('考上', 0.08093562577996767), ('超强', 0.07679987160751395), ('痛恨', 0.07679987160751395)]"
