,title,ISBN,weight
10,米小圈上学记 :班里有个小神童,978-7-5365-8819-6,"[('米小圈', 0.5690229133138154), ('大爷', 0.392263234992065), ('神童', 0.2845114566569077), ('四年级', 0.21121866499572733), ('小朋友', 0.1566882018324177), ('老师', 0.15387786601886225), ('学习', 0.14342611444543313), ('童年', 0.10588512996415722), ('踢球', 0.10091861600030183), ('教室', 0.09712526778560045), ('玩耍', 0.09712526778560045), ('聪明', 0.09594449238539612), ('小偷', 0.09483715221896924), ('黑板', 0.09052228499816885), ('踢足球', 0.09052228499816885), ('同学', 0.08823760830346435), ('说道', 0.08753461494505484), ('美妙', 0.08107969143335624), ('作家', 0.0682511041310099), ('很矮', 0.06727907733353455)]"
11,查理和大玻璃升降机,978-7-5332-5960-0,"[('工厂', 0.458366139092894), ('查理和大玻璃升降机', 0.3650062237602), ('电梯', 0.340095664653864), ('升降机', 0.29200497900815997), ('查理', 0.24891194403025754), ('玻璃', 0.22215796646202676), ('姥爷', 0.13096175402654112), ('查理和巧克力工厂', 0.13096175402654112), ('姥姥', 0.12216348778891456), ('爸爸', 0.11624718506557359), ('妈妈', 0.10996840381348345), ('太空', 0.10712275231137568), ('奶奶', 0.10228071699338682), ('太太', 0.10088028307146334), ('爷爷', 0.09956477761210303), ('全归', 0.07300124475203999), ('起飞时', 0.07300124475203999), ('制造商', 0.07300124475203999), ('乘大', 0.07300124475203999), ('轨逆', 0.07300124475203999)]"
12,哈利·波特与魔法石 : 纪念版,978-7-02-010329-4,"[('魔法', 0.24825822386260465), ('法学', 0.24530096417172353), ('罗琳', 0.21518262061308038), ('图书奖', 0.20767650233063642), ('封面', 0.1572515517722983), ('全式', 0.133732753029795), ('用纸', 0.12567387424051235), ('木部', 0.12567387424051235), ('摆满', 0.12567387424051235), ('疏朗', 0.12567387424051235), ('美国', 0.12082782111704768), ('放大', 0.11995600874388357), ('宽大', 0.11995600874388357), ('字号', 0.11995600874388357), ('飘荡', 0.11995600874388357), ('餐桌上', 0.11995600874388357), ('新星', 0.11995600874388357), ('口令', 0.11995600874388357), ('猫头鹰', 0.11995600874388357), ('读者', 0.11623383542022421)]"
13,未来简史 = Homo deus: a brief history of tomorrow : 从智人到神人,978-7-5086-7206-9,"[('简史', 0.298958243172893), ('人类简史', 0.2617317192046695), ('算法', 0.2617317192046695), ('人类', 0.20967599765347159), ('面临', 0.17551148202083244), ('饥荒', 0.17084099586673934), ('数据', 0.16323941755352397), ('瘟疫', 0.1521128972238807), ('技术', 0.14032776532355043), ('机器', 0.12397392263552147), ('物种', 0.11763138484000134), ('认知革命', 0.10871208842650652), ('战争', 0.10605241926467592), ('方式', 0.10486094660849218), ('智人', 0.10469268768186779), ('智能', 0.10469268768186779), ('知识', 0.10235963670275387), ('议题', 0.0986319400131117), ('公式', 0.0986319400131117), ('沦为', 0.0986319400131117)]"
14,揭秘恐龙,978-7-5417-3825-8,"[('看里面系列', 0.5690170899933668), ('套装', 0.38757965351318785), ('地球', 0.31997419333658583), ('展现', 0.1918198567151014), ('壮丽', 0.17571178990608516), ('儿童阅读', 0.1564497403179331), ('恐龙', 0.1564497403179331), ('乐乐趣科普翻翻书', 0.15216600647012124), ('唤起', 0.15216600647012124), ('惊异', 0.15216600647012124), ('图文并茂', 0.14518216362183273), ('星球', 0.1349633628415364), ('脆弱', 0.13290395688196913), ('翻翻书', 0.12919321783772927), ('责任', 0.12750850425244462), ('威胁', 0.12592011403368067), ('揭秘', 0.12163638018586881), ('面临', 0.1203436232171727), ('神奇', 0.11570131325338433), ('保护', 0.10824645466429253)]"
15,查理和巧克力工厂,978-7-5332-5961-7,"[('工厂', 0.6073166276725626), ('查理', 0.3357946082603992), ('老人家', 0.22084241006275), ('参观', 0.20036516322088416), ('大门', 0.17011565710092233), ('奇特', 0.12435433898686585), ('奖券', 0.1231028932718319), ('留到', 0.1231028932718319), ('紧锁', 0.1231028932718319), ('迷惑不解', 0.11568458120532815), ('参观者', 0.11568458120532815), ('告示', 0.11568458120532815), ('包装纸', 0.11568458120532815), ('查理和巧克力工厂', 0.110421205031375), ('狂喜', 0.10633861329616923), ('前提', 0.10018258161044208), ('全世界', 0.09982465763195635), ('孩子', 0.09180717468745814), ('着迷', 0.09032120472441434), ('讲故事', 0.08750089336998515)]"
16,女巫,978-7-5332-5954-9,"[('女巫', 0.8638906379394827), ('消灭', 0.1985245819297579), ('干掉', 0.19151831480903236), ('老鼠', 0.1547722092241369), ('杀死', 0.14870647934293307), ('孩子', 0.14282974929512623), ('学会', 0.08084693035689301), ('弄死', 0.07660732592361294), ('有爱', 0.07199088649495688), ('秘方', 0.07199088649495688), ('识别', 0.06871547059448536), ('大会', 0.06871547059448536), ('杀人', 0.059482591737173234), ('童话', 0.05626428805491303), ('记住', 0.052241515846408036), ('地面', 0.050975151868023046), ('勇气', 0.049835647592564), ('有没有', 0.046974296979389575), ('好玩', 0.04577471055634138), ('勇敢', 0.042499294655869845)]"
17,皮囊 = No more than skins,978-7-201-08894-5,"[('皮囊', 0.4442376737629856), ('房子', 0.2893262949162646), ('蔡崇达', 0.2221188368814928), ('母亲', 0.17685102237103498), ('回答', 0.17280651845021786), ('拿来', 0.1658420938581495), ('残疾', 0.13938877982095235), ('作者', 0.13171455618405015), ('始终', 0.11456332035076337), ('渔业', 0.1110594184407464), ('乡亲', 0.1110594184407464), ('叨位', 0.1110594184407464), ('认人', 0.1110594184407464), ('厚朴', 0.1110594184407464), ('文展', 0.1110594184407464), ('海是', 0.1110594184407464), ('神婆', 0.1110594184407464), ('认心', 0.1110594184407464), ('阉割', 0.1110594184407464), ('开往', 0.1110594184407464)]"
18,哈利·波特与密室 : 纪念版,978-7-02-010330-0,"[('往事', 0.4048513830497617), ('法学', 0.29405218144629386), ('自命不凡', 0.18831294139023258), ('揭发', 0.18831294139023258), ('学年', 0.18831294139023258), ('盥洗室', 0.18831294139023258), ('桃金', 0.17974514576324946), ('海格', 0.17309944717367245), ('掩盖', 0.17309944717367245), ('奇幻小说', 0.163078574712085), ('密室', 0.163078574712085), ('日记', 0.1591017204297066), ('时常', 0.15559388635013008), ('苦恼', 0.15245602184012966), ('哭泣', 0.14961747811449883), ('对手', 0.14961747811449883), ('恶毒', 0.14961747811449883), ('记载', 0.14702609072314693), ('出没', 0.14702609072314693), ('幽灵', 0.1446422454076132)]"
19,幸福的鸭子,978-7-5332-5329-5,"[('马小跳', 0.5157404241111256), ('杨红樱', 0.3260914071515113), ('桃子', 0.22674556038433077), ('幸福的鸭子', 0.2068163095772429), ('少儿', 0.19600526974381566), ('司机', 0.15441666409681726), ('孩子们', 0.1446629154342759), ('儿童文学', 0.14015585914263703), ('笑猫日记', 0.12073607158650274), ('童年', 0.10849718657570692), ('形象', 0.10608516755182198), ('外婆家', 0.10340815478862145), ('向上', 0.09285278819524763), ('民族', 0.0861211986516725), ('出版', 0.08596193221578688), ('品牌', 0.08531750162293326), ('外婆', 0.08415477192254406), ('爸爸', 0.07318539992226299), ('幸福', 0.07275398088225213), ('点头', 0.07244164295190163)]"
